set_number,set_name,year_released,number_of_parts,theme_name
001-1,Gears,1965,43,Technic
002-1,4.5V Samsonite Gears Motor Set,1965,3,Technic
1030-1,TECHNIC I: Simple Machines Set,1985,210,Technic
1038-1,ERBIE the Robo-Car,1985,120,Technic
1039-1,Manual Control Set 1,1986,39,Technic
1237-1,Honda Promotional Set,2001,56,Technic
1257-1,Trike Buggy,1999,30,Technic
1258-1,Propellor Buggy,1999,29,Technic
1259-1,Motorbike,1999,28,Technic
1260-1,Car,1999,26,Technic
1268-1,Bike Blaster,1999,28,Technic
1924-1,Motorcycle,1983,103,Technic
1972-1,Go-Cart,1985,98,Technic
2129-1,Blast-Off Dragster,1997,64,Technic
2544-1,Motorcycle,1998,28,Technic
3000-1,Trike Buggy,1999,30,Technic
3001-1,Kabaya Promotional Set: Propeller Buggy,1999,29,Technic
3003-1,Motorbike,1999,28,Technic
3005-1,Kabaya Promotional Set: Car,1999,26,Technic
30433-1,Volvo Wheel Loader,2022,69,Technic
30465-1,Helicopter,2021,70,Technic
3054-1,Kelloggs Promotional Set: TECHNIC Motorcycle,1998,30,Technic
3057-1,Create 'n' Race - Master Builders,2000,106,Technic
30655-1,Forklift with Pallet,2023,78,Technic
41999-1,4 x 4 Crawler Exclusive Edition,2013,1584,Technic
42000-1,Grand Prix Racer,2013,1141,Technic
42001-1,Mini Off-Roader,2013,100,Technic
42002-1,Hovercraft,2013,170,Technic
42004-1,Mini Backhoe Loader,2013,246,Technic
42005-1,Monster Truck,2013,329,Technic
42006-1,Excavator,2013,720,Technic
42007-1,Moto Cross Bike,2013,253,Technic
42008-1,Service Truck,2013,1276,Technic
42009-1,Mobile Crane MK II,2013,2607,Technic
42010-1,Off-Road Racer,2013,160,Technic
42011-1,Race Car,2013,158,Technic
42020-1,Twin-Rotor Helicopter,2014,145,Technic
42021-1,Snowmobile,2014,186,Technic
42022-1,Hot Rod,2014,414,Technic
42023-1,Construction Crew,2014,836,Technic
42024-1,Container Truck,2014,948,Technic
42025-1,Cargo Plane,2014,1297,Technic
42026-1,Black Champion Racer,2014,138,Technic
42027-1,Desert Racer,2014,149,Technic
42028-1,Bulldozer,2014,617,Technic
42029-1,Customized Pick up Truck,2014,1063,Technic
42030-1,Remote-Controlled Volvo L350F Wheel Loader,2014,1636,Technic
42031-1,Cherry Picker,2015,155,Technic
42032-1,Compact Tracked Loader,2015,252,Technic
42033-1,Record Breaker,2015,125,Technic
42034-1,Quad Bike,2015,148,Technic
42035-1,Mining Truck,2015,362,Technic
42036-1,Street Motorcycle,2015,375,Technic
42037-1,Formula Off-Roader,2015,494,Technic
42038-1,Arctic Truck,2015,913,Technic
42039-1,24 Hours Race Car,2015,1219,Technic
42040-1,Fire Plane,2015,578,Technic
42041-1,Race Truck,2015,608,Technic
42042-1,Crawler Crane,2015,1400,Technic
42043-1,Mercedes-Benz Arocs 3245,2015,2793,Technic
42044-1,Display Team Jet,2016,113,Technic
42045-1,Hydroplane Racer,2016,180,Technic
42046-1,Getaway Racer,2016,170,Technic
42047-1,Police Interceptor,2016,185,Technic
42048-1,Race Kart,2016,345,Technic
42049-1,Mine Loader,2016,476,Technic
42050-1,Drag Racer,2016,647,Technic
42052-1,Heavy Lift Helicopter,2016,1042,Technic
42053-1,Volvo EW160E,2016,1166,Technic
42054-1,CLAAS XERION 5000 TRAC VC,2016,1976,Technic
42055-1,Bucket Wheel Excavator,2016,3929,Technic
42056-1,Porsche 911 GT3 RS,2016,2704,Technic
42057-1,Ultralight Helicopter,2017,199,Technic
42058-1,Stunt Bike,2017,140,Technic
42059-1,Stunt Truck,2017,142,Technic
42060-1,Roadwork Crew,2017,365,Technic
42061-1,Telehandler,2017,260,Technic
42062-1,Container Yard,2017,631,Technic
42063-1,BMW R 1200 GS Adventure,2017,603,Technic
42063-40,Technic 40 Year Anniversary Model,2017,573,Technic
42064-1,Ocean Explorer,2017,1327,Technic
42065-1,RC Tracked Racer,2017,370,Technic
42066-1,Air Race Jet,2017,1151,Technic
42068-1,Airport Rescue Vehicle,2017,1106,Technic
42069-1,Extreme Adventure,2017,2382,Technic
42070-1,6x6 All Terrain Tow Truck,2017,1862,Technic
42071-1,Dozer Compactor,2018,171,Technic
42072-1,WHACK!,2018,135,Technic
42073-1,BASH!,2018,139,Technic
42074-1,Racing Yacht,2018,331,Technic
42075-1,First Responder,2018,513,Technic
42076-1,Hovercraft,2018,1020,Technic
